,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
69,Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,Gas Giant,1.14 x Jupiter,1.4 AU,1.4 years,0.19,bet UMi,Radial Velocity,,,14h50m42.33s,+74d09m19.8s,4126,1.4,38.3
70,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,Gas Giant,1.11 x Jupiter,2.6 AU,27.5 years,0,CFBDSIR J145829+101343,Imaging,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,
71,CHXR 73 b,623,12.569 Jupiters,17.293,2006,Gas Giant,1.1 x Jupiter,210.0 AU,5146.9 years,0,CHXR 73,Imaging,,,11h06m28.77s,-77d37m33.2s,,0.35,
72,CI Tauri b,515,11.6 Jupiters,12.939,2019,Gas Giant,1.11 x Jupiter,Unknown,9 days,0.25,CI Tau,Radial Velocity,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,
73,CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,Gas Giant,0.97 x Jupiter,0.1055 AU,13.2 days,0.53,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950,0.95,1.11
74,CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,Gas Giant,1.43 x Jupiter,0.0436 AU,3 days,0,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075,0.89,0.79
75,CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,Gas Giant,1.44 x Jupiter,0.04016 AU,2.8 days,0.07,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440,1.27,1.37
76,CoRoT-13 b,3458,1.308 Jupiters,15.039,2010,Gas Giant,0.885 x Jupiter,0.051 AU,4 days,0,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675,1.08,1.12
77,CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,Gas Giant,1.09 x Jupiter,0.027 AU,1.5 days,0,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945,1.09,1.01
78,CoRoT-16 b,2740,0.535 Jupiters,15.63,2011,Gas Giant,1.17 x Jupiter,0.0618 AU,5.4 days,0.33,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035,1.13,1.21
79,CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,Gas Giant,1.02 x Jupiter,0.0461 AU,3.8 days,0,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650,1.1,1.19
80,CoRoT-18 b,2838,3.47 Jupiters,15,2011,Gas Giant,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740,1.04,1.59
81,CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,Gas Giant,1.29 x Jupiter,0.0518 AU,3.9 days,0.05,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440,0.95,1
82,CoRoT-1 b,2627,1.03 Jupiters,13.6,2008,Gas Giant,1.49 x Jupiter,0.02752 AU,1.5 days,0,CoRoT-19,Transit,88,0.71,06h28m08.06s,-00d10m14.5s,6090,1.21,1.65
83,CoRoT-20 b,2819,4.3 Jupiters,14.66,2011,Gas Giant,0.84 x Jupiter,0.09 AU,9.2 days,0.59,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625,0.96,0.91
84,CoRoT-20 c,2819,17 Jupiters,14.66,2018,Gas Giant,1.09 x Jupiter,2.9 AU,4.6 years,0.6,CoRoT-20,Transit,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,
85,CoRoT-21 b,4563,2.26 Jupiters,16,2012,Gas Giant,1.3 x Jupiter,0.0417 AU,2.7 days,0,CoRoT-20,Radial Velocity,,,06h30m52.90s,+00d13m36.9s,,1.14,
86,CoRoT-22 b,1931,12.2 Earths,13.944,2014,Neptune-like,0.435 x Jupiter,0.092 AU,9.8 days,0.08,CoRoT-21,Transit,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200,1.29,1.95
87,CoRoT-23 b,1957,2.8 Jupiters,15.63,2011,Gas Giant,1.05 x Jupiter,0.048 AU,3.6 days,0.16,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939,1.1,1.14
88,CoRoT-24 b,1957,5.7 Earths,15.18,2014,Neptune-like,0.33 x Jupiter,0.056 AU,5.1 days,0,CoRoT-23,Transit,85.7,3,18h39m07.83s,+04d21m28.1s,5900,1.14,1.61
89,CoRoT-24 c,1957,28 Earths,15.18,2014,Neptune-like,0.44 x Jupiter,0.098 AU,11.8 days,0,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950,0.91,0.86
90,CoRoT-25 b,3262,0.27 Jupiters,14.711,2013,Gas Giant,1.08 x Jupiter,0.0578 AU,4.9 days,0,CoRoT-24,Transit,89,1.3,06h47m41.41s,-03d43m09.5s,4950,0.91,0.86
91,CoRoT-26 b,5448,0.52 Jupiters,15.468,2013,Gas Giant,1.26 x Jupiter,0.0526 AU,4.2 days,0,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040,1.09,1.19
92,CoRoT-27 b,3377,10.39 Jupiters,15.54,2014,Gas Giant,1.007 x Jupiter,0.0476 AU,3.6 days,< 0.065,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590,1.09,1.79
93,CoRoT-28 b,1827,0.484 Jupiters,13.412,2015,Gas Giant,0.955 x Jupiter,0.0603 AU,5.2 days,0.05,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900,1.05,1.08
94,CoRoT-29 b,2495,0.85 Jupiters,15.239,2015,Gas Giant,0.9 x Jupiter,0.0386 AU,2.9 days,0.08,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150,1.01,1.78
95,CoRoT-2 b,652,3.47 Jupiters,12.57,2008,Gas Giant,1.466 x Jupiter,0.02798 AU,1.7 days,0.01,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260,0.97,0.9
96,CoRoT-30 b,3132,2.9 Jupiters,15.65,2020,Gas Giant,1.009 x Jupiter,0.0844 AU,9.1 days,0.01,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740,1.37,1.56
97,CoRoT-31 b,7144,0.84 Jupiters,15.465,2020,Gas Giant,1.46 x Jupiter,0.0586 AU,4.6 days,0.02,CoRoT-30,Transit,90,3.45,18h30m24.264s,+06d50m09.424s,5650,0.98,0.91
98,CoRoT-3 b,2218,21.66 Jupiters,13.292,2008,Gas Giant,1.01 x Jupiter,0.05783 AU,4.3 days,0,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700,1.25,2.15
99,CoRoT-4 b,2419,0.72 Jupiters,13.561,2008,Gas Giant,1.19 x Jupiter,0.09 AU,9.2 days,0,CoRoT-4,Transit,90,0.525,06h48m46.72s,-00d40m22.0s,6190,1.16,1.17
100,CoRoT-5 b,2951,0.467 Jupiters,13.902,2009,Gas Giant,1.388 x Jupiter,0.04947 AU,4 days,0.09,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100,1,1.19
101,CoRoT-6 b,2144,2.96 Jupiters,13.912,2009,Gas Giant,1.166 x Jupiter,0.0855 AU,8.9 days,< 0.1,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090,1.05,1.02
102,CoRoT-7 b,524,3.1783 Earths,11.668,2009,Super Earth,1.681 x Earth,0.017016 AU,0.9 days,0,CoRoT-7,Transit,80.1,,06h43m49.47s,-01d03m46.9s,5275,0.82,0.83
103,CoRoT-7 c,524,8.4 Earths,11.668,2009,Neptune-like,0.253 x Jupiter,0.046 AU,3.7 days,0,CoRoT-7,Radial Velocity,80,,06h43m49.47s,-01d03m46.9s,5275,0.82,0.83
104,CoRoT-8 b,1240,0.22 Jupiters,14.8,2010,Gas Giant,0.57 x Jupiter,0.063 AU,6.2 days,0,CoRoT-8,Transit,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080,0.88,0.77
105,CoRoT-9 b,1363,0.84 Jupiters,13.69,2009,Gas Giant,1.066 x Jupiter,0.4021 AU,95.3 days,0.13,CoRoT-9,Transit,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625,0.96,0.96
106,CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017,Gas Giant,0.57 x Jupiter,0.071 AU,6.7 days,0,CoRoTID 223977153,Transit,89,1.1,06h40m46.84s,+09d15m26.8s,5970,1.08,0.79
107,CT Chamaleontis b,538,17 Jupiters,11.773,2007,Gas Giant,2.2 x Jupiter,440.0 AU,Infinity years,0,CT Cha,Imaging,,,11h04m09.09s,-76d27m19.4s,,,
108,DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018,Gas Giant,1.1 x Jupiter,5.75 AU,11.2 years,0,DE CVn,Eclipse Timing Variations,86,,13h26m53.27s,+45d32m46.69s,,0.51,
109,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013,Gas Giant,1.06 x Jupiter,0.36 AU,246.4 days,0.35,DENIS-P J082303.1-491201,Astrometry,56.6,,08h23m03.13s,-49d12m01.3s,,0.07,
110,DH Tauri b,457,11 Jupiters,12.496,2004,Gas Giant,2.7 x Jupiter,330.0 AU,10441.5 years,0,DH Tau,Imaging,,,04h29m41.56s,+26d32m58.3s,,0.33,0.27
111,DMPP-1 b,202,24.27 Earths,7.981,2019,Neptune-like,0.472 x Jupiter,0.1462 AU,18.6 days,< 0.083,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26
112,DMPP-1 c,202,9.6 Earths,7.981,2019,Neptune-like,0.273 x Jupiter,0.0733 AU,6.6 days,< 0.057,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26
113,DMPP-1 d,202,3.35 Earths,7.981,2019,Super Earth,1.65 x Earth,0.0422 AU,2.9 days,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26
114,DMPP-1 e,202,4.13 Earths,7.981,2019,Super Earth,1.86 x Earth,0.0651 AU,5.5 days,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26
115,DMPP-2 b,437,0.437 Jupiters,8.567,2019,Gas Giant,1.28 x Jupiter,0.0664 AU,5.2 days,0.08,DMPP-2,Radial Velocity,,,01h49m37.89s,-34d27m32.9s,6500,1.44,1.78
